Word,Weight
168 210,3.227513825837403
it joke,3.1602891399005086
excuses,2.8770572869180873
303,2.594795082147168
edit is,2.3890992496492047
hello you,2.2731325783730756
slimy,2.243394515251902
it he,2.2362590275110676
thru,2.2235294596769255
this again,2.218672220222978
die for,2.1904347562923507
wikipedia what,2.1714771535529658
son,2.16454307483907
the toilet,2.162485257748234
what you have,2.1607387144060732
of your life,2.1476376237867814
comments on my,2.1247618310608427
is huge,2.123165310593599
su,2.115999384015693
brilliant,2.113929691826981
